RUNTYPE,STARTTIME,ENDTIME,DURATION,SUCCESS,FAILREASON
WARMUP,168451333729136,168451370621183,36892047, 0,null
REPETITION,168451370631518,168451373318329,2686811, 0,null
REPETITION,168451373322540,168451376115462,2792922, 0,null
REPETITION,168451376119474,168451378705184,2585710, 0,null
REPETITION,168451378708994,168451380776881,2067887, 0,null
REPETITION,168451380780916,168451382814250,2033334, 0,null
REPETITION,168451382818148,168451384701473,1883325, 0,null
REPETITION,168451384705324,168451386314272,1608948, 0,null
REPETITION,168451386317762,168451388466949,2149187, 0,null
REPETITION,168451388470804,168451987286027,598815223, 0,null
REPETITION,168451987290442,168451989388518,2098076, 0,null
REPETITION,168451989393023,168451991999643,2606620, 0,null
WARMUP,168452934556699,168452970425764,35869065, 0,null
REPETITION,168452970436508,168452973130770,2694262, 0,null
REPETITION,168452973135660,168452976050930,2915270, 0,null
REPETITION,168452976054947,168452981803601,5748654, 0,null
REPETITION,168452981807889,168452984139456,2331567, 0,null
REPETITION,168452984143999,168452987592803,3448804, 0,null
REPETITION,168452987597233,168452989577416,1980183, 0,null
REPETITION,168452989581766,168452991507042,1925276, 0,null
REPETITION,168452991510787,168452993427593,1916806, 0,null
REPETITION,168452993431791,168453786799033,793367242, 0,null
REPETITION,168453786803042,168453788567929,1764887, 0,null
REPETITION,168453788571642,168453790142389,1570747, 0,null
